role,perf,area,sex,id,age,salary,vol_leave
Director,3,Other,Female,83,54.05766371,236015.2461,0
Director,3,Sales,Male,94,54.13067161,177308.991,1
Director,3,Accounting,Male,84,52.09963065,122980.8588,0
Director,2,Sales,Male,107,61.58071913,168100.3971,1
Director,2,Accounting,Female,51,54.14913439,161703.0645,1
Director,2,Marketing,Female,67,54.83279999,230742.3414,0
Director,3,Finance,Female,52,46.78108614,199341.9364,0
Director,3,Other,Female,59,51.94037663,222709.0278,0
Director,2,Accounting,Female,53,56.29812764,219169.8789,0
Director,2,Accounting,Female,19,48.86456425,245091.67,0
Director,2,Marketing,Female,82,53.61181446,173271.0588,0
Director,2,Marketing,Female,79,49.51748447,268672.6946,0
Director,2,Accounting,Male,54,47.57921868,166320.2655,0
Director,2,Sales,Female,55,51.92849849,213579.8981,0
Director,3,Accounting,Male,57,56.69600592,261955.0608,0
Director,2,Finance,Male,23,52.80738909,200143.9876,0
Director,2,Marketing,Female,110,50.68328512,177906.2324,1
Director,2,Other,Male,17,58.03498823,206725.0472,0
Director,3,Sales,Female,58,51.530364,273953.5464,1
Director,2,Other,Female,18,49.61390703,237038.0852,0
Director,2,Finance,Male,30,50.5508003,289240.707,0
Director,2,Other,Female,15,49.30264812,244182.5147,0
Director,3,Other,Female,33,49.13998755,232702.6167,0
Director,1,Sales,Male,16,52.73279028,192420.3438,0
Director,2,Marketing,Male,34,49.95226996,199198.7224,0
Director,1,Sales,Male,36,54.9052578,224593.1368,0
Director,2,Sales,Male,100,47.11305295,224702.1676,0
Director,3,Other,Male,64,46.57722388,246232.4059,0
Director,2,Sales,Female,27,51.51555493,177161.0771,1
Director,2,Sales,Male,68,49.05161203,187865.748,1
Director,2,Marketing,Female,78,58.69189926,241937.9438,0
Director,2,Other,Male,56,51.6511267,270090.6152,0
Director,3,Sales,Female,37,47.70201397,134154.4258,1
Director,2,Sales,Male,46,50.51241799,253412.593,0
Director,2,Other,Male,61,52.71643658,252507.9184,0
Director,3,Other,Female,75,48.40368931,141786.0437,0
Director,3,Other,Male,106,60.11945244,201972.6318,0
Director,2,Sales,Male,13,48.55803889,179699.441,0
Director,2,Sales,Female,26,52.88367835,175906.6459,1
Director,2,Marketing,Male,21,53.17795519,173223.8304,1
Director,2,Finance,Male,86,61.67132166,193030.3511,0
Director,3,Sales,Male,62,49.43666338,189965.3119,1
Director,3,Marketing,Male,20,53.09369833,216861.1435,1
Director,2,Sales,Male,12,48.37920087,183572.8027,0
Director,2,Accounting,Female,93,53.07128548,173108.3398,0
Director,2,Other,Female,38,52.58275468,201263.0558,0
Director,3,Accounting,Female,42,50.83165861,245608.7024,1
Director,2,Sales,Male,99,45.81386882,232403.9565,0
Ind,1,Sales,Female,10312,32.34996481,61998.93904,0
Ind,1,Other,Female,7591,28.24745341,59271.35272,1
Ind,1,Accounting,Female,1834,25.44981033,59960.80642,1
Ind,1,Marketing,Male,2922,25.30933749,61628.77495,0
Ind,1,Finance,Male,4330,24.85246188,52753.96152,0
Ind,1,Finance,Female,9121,29.51329808,59832.28096,1
Ind,1,Sales,Female,1587,22.43844503,66772.19768,1
Ind,1,Sales,Male,2239,24.20329729,56134.52389,0
Ind,1,Sales,Male,8696,27.31607274,51564.51743,0
Ind,1,Finance,Male,9098,22.1927448,64797.72455,0
Ind,1,Sales,Female,4303,27.63805265,57405.90093,1
Ind,1,Finance,Female,5967,24.65092466,50659.98311,1
Ind,1,Sales,Female,3061,24.61215593,62901.32586,0
Ind,1,Sales,Male,10091,26.92086278,57847.24474,1
Ind,1,Marketing,Male,8223,31.98334452,63075.92596,0
Ind,1,Finance,Male,1601,22.76404325,56391.7638,0
Ind,1,Finance,Male,3034,24.98821853,62602.84349,0
Ind,1,Marketing,Male,7787,28.131725,54762.42514,0
Ind,1,Accounting,Male,3450,25.89261074,60661.02158,0
Ind,1,Finance,Female,3009,23.96588366,57893.44257,0
Ind,1,Finance,Female,7791,25.84870165,63283.52747,0
Ind,1,Sales,Female,4296,23.68393738,65651.40201,1
Ind,2,Finance,Female,9424,24.86544419,62837.56306,0
Ind,2,Finance,Female,2135,29.58277575,55979.31211,0
Ind,1,Accounting,Male,7798,22.20947006,57718.3186,1
Ind,1,Sales,Male,4282,23.4834162,73068.24406,1
Ind,1,Sales,Female,2090,22.94274317,65316.87146,1
Ind,1,Accounting,Female,2720,25.10751709,65003.63254,1
Ind,1,Finance,Female,9174,25.0789338,58928.55557,0
Ind,1,Finance,Female,5011,27.37910737,55234.21092,1
Ind,1,Sales,Female,7294,23.58476457,53175.31344,0
Ind,1,Marketing,Male,5478,26.10969591,60379.97901,0
Ind,1,Finance,Female,3545,29.6429086,58290.13535,0
Ind,2,Marketing,Male,5742,23.22383658,59416.96744,1
Ind,1,Accounting,Female,2242,29.02066326,70778.60143,0
Ind,2,Marketing,Male,5624,23.89260905,50211.81096,1
Ind,2,Finance,Male,10672,32.6435808,55014.14675,0
Ind,2,Other,Female,10822,25.16375393,67387.75392,0
Ind,1,Marketing,Male,5388,25.73151484,69228.12743,0
Ind,1,Finance,Female,6393,25.90508895,57926.77086,0
Ind,1,Marketing,Female,7678,24.86797326,56523.65708,1
Ind,1,Other,Female,5692,30.01590622,61558.9811,0
Ind,1,Accounting,Female,2011,22.63566759,67860.70696,1
Ind,1,Sales,Female,11083,27.76704273,56673.30124,1
Ind,1,Accounting,Female,7835,23.63708775,60438.12322,0
Ind,1,Finance,Male,1556,26.1159327,60612.33008,0
Ind,2,Finance,Male,2342,27.72055699,60621.59421,0
Ind,1,Accounting,Female,1545,26.40557403,62664.9147,0
Ind,2,Marketing,Male,10684,24.89780464,68048.43888,0
Ind,1,Accounting,Female,8825,23.38657646,64317.00611,0
Ind,1,Marketing,Female,8360,25.50290129,56618.15089,0
Ind,1,Sales,Male,9384,27.72925496,52809.87087,0
Ind,1,Accounting,Male,9337,30.75027639,56251.428,0
Ind,1,Finance,Male,7240,23.6427815,63086.45641,0
Ind,2,Sales,Female,3596,23.09589781,66408.71922,1
Ind,1,Sales,Female,4265,24.01762346,50875.54883,1
Ind,1,Other,Female,1889,25.03562753,63257.2834,1
Ind,1,Sales,Female,7396,26.45607346,53468.94515,1
Ind,1,Sales,Female,4201,25.58801475,57232.12919,0
Ind,1,Marketing,Female,5678,25.24959158,60398.91527,0
Ind,1,Finance,Female,3919,23.50391624,50035.19727,0
Ind,1,Marketing,Female,5794,24.24864112,61722.54045,0
Ind,1,Finance,Male,3904,24.30680248,62337.22015,0
Ind,1,Accounting,Male,1830,27.31273034,64007.35726,0
Ind,1,Sales,Female,5485,39.38009635,58898.6675,1
Ind,1,Sales,Male,3229,27.60461823,61087.58524,1
Ind,1,Accounting,Female,3797,25.33695169,55988.11167,0
Ind,1,Marketing,Female,9986,23.57786183,59216.18388,0
Ind,1,Finance,Male,4972,28.60459305,68735.76397,0
Ind,1,Marketing,Female,10148,24.4360744,53682.32243,1
Ind,1,Marketing,Male,5167,31.57669668,63324.25719,0
Ind,1,Marketing,Male,4924,24.58138738,58797.04234,1
Ind,1,Sales,Female,1852,26.01007347,61534.50394,1
Ind,2,Finance,Male,4192,29.40071092,57161.55164,0
Ind,1,Finance,Male,4050,26.27207027,56280.01964,0
Ind,1,Marketing,Female,4927,34.42642215,55699.03672,1
Ind,1,Other,Male,2710,25.10629968,54659.515,0
Ind,1,Other,Female,3432,22.84042948,53832.33887,0
Ind,1,Marketing,Female,1638,23.889137,57201.04533,1
Ind,1,Accounting,Female,2375,23.52975027,63726.57386,1
Ind,1,Accounting,Male,6772,27.76760182,59095.13312,1
Ind,1,Sales,Male,3316,24.28869761,63232.88652,1
Ind,1,Finance,Female,3144,23.62713426,51266.82484,0
Ind,1,Finance,Male,1173,25.42519989,56673.41548,0
Ind,1,Finance,Female,3094,24.11114163,65472.00565,0
Ind,1,Sales,Male,10273,26.61032442,56551.37067,1
Ind,1,Other,Female,5732,23.83101673,62474.91492,0
Ind,1,Finance,Female,9428,31.46306341,61800.99059,0
Ind,1,Marketing,Female,10246,22.92245961,58259.04599,0
Ind,2,Sales,Male,8191,24.57506625,59108.15295,0
Ind,1,Finance,Male,7549,35.02732094,59400.72214,1
Ind,1,Finance,Male,7993,24.81753245,62550.08717,0
Ind,1,Other,Female,6443,24.33366507,64339.1401,0
Ind,1,Accounting,Male,10349,23.45898787,56849.11908,0
Ind,2,Marketing,Male,6411,27.65814691,61385.6792,1
Ind,1,Other,Female,7923,24.02607507,54853.64365,0
Ind,1,Accounting,Male,7045,29.78636146,62160.59354,0
Ind,2,Finance,Female,9375,23.33930512,57440.34999,0
Ind,1,Other,Male,2070,23.18137175,55783.92983,0
Ind,1,Finance,Male,5640,25.27815941,57643.31631,1
Ind,1,Finance,Male,1515,25.07120039,53891.51092,0
Ind,1,Marketing,Female,8805,24.02242336,49643.3735,1
Ind,1,Sales,Male,3328,25.60930272,57119.08568,0
Ind,1,Marketing,Female,10421,24.59224135,53420.19444,1
Ind,1,Finance,Male,4523,27.41487301,61081.01457,0
Ind,1,Other,Female,10221,23.04795792,58801.74954,0
Ind,2,Other,Female,4122,28.9752874,58228.00323,0
Ind,1,Accounting,Male,10908,26.06326778,69672.95077,0
Ind,1,Marketing,Female,3168,25.70023207,56824.94324,0
Ind,1,Sales,Male,1859,25.1563556,53021.7083,0
Ind,2,Sales,Female,5107,24.79474114,62635.72352,1
Ind,1,Marketing,Female,9149,24.14261558,60698.79131,0
Ind,1,Finance,Female,5833,23.97889907,51646.07096,0
Ind,1,Other,Female,4485,23.36073002,57151.0498,0
Ind,1,Sales,Female,6589,28.60108646,67352.91658,1
Ind,1,Sales,Male,8029,24.20932344,59564.66971,0
Ind,1,Accounting,Female,6163,24.9357033,54100.26021,1
Ind,1,Marketing,Female,2622,26.8467118,56026.62894,0
Ind,1,Accounting,Female,7665,24.83338873,65250.54521,0
Ind,1,Other,Male,8061,22.76782399,67345.39871,0
Ind,1,Sales,Female,7556,22.55647717,60740.79514,1
Ind,1,Other,Male,3972,26.93793171,48679.99977,0
Ind,1,Finance,Female,3550,28.22255747,63610.41104,0
Ind,1,Marketing,Female,2185,22.96258261,63510.62534,0
Ind,1,Finance,Female,2766,28.52383294,51537.84838,0
Ind,1,Sales,Male,6165,27.79922852,59926.78591,0
Ind,1,Finance,Female,6234,23.03265,58108.58182,0
Ind,1,Other,Female,2868,22.74110934,64661.02335,0
Ind,1,Accounting,Male,10731,24.88703638,59604.36917,0
Ind,1,Other,Female,2188,25.29026944,65574.19257,0
Ind,1,Other,Female,8463,22.40657836,68054.84137,1
Ind,1,Finance,Male,7669,22.87289732,66869.25247,0
Ind,1,Sales,Female,8588,24.33460822,61896.10649,0
Ind,1,Sales,Female,4582,25.90501547,65741.99515,0
Ind,2,Finance,Male,6684,30.61369868,68612.90092,0
Ind,1,Sales,Female,1700,24.04189831,56299.92406,1
Ind,1,Other,Female,8188,26.31145031,57551.79303,0
Ind,1,Marketing,Male,5125,25.38526573,57891.97358,0
Ind,1,Other,Male,1185,28.49310689,61018.58494,0
Ind,1,Sales,Female,7831,26.59300954,61201.02578,1
Ind,1,Finance,Female,3241,23.95440862,59943.20916,1
Ind,1,Marketing,Female,4712,26.74413366,58583.02912,0
Ind,1,Accounting,Male,7895,27.70694895,52409.49672,0
Ind,1,Other,Male,3765,25.2107987,46599.50174,0
Ind,2,Sales,Female,3958,24.51687125,59919.31016,0
Ind,1,Accounting,Female,9635,27.83856205,73247.99815,0
Ind,1,Sales,Male,10855,25.36011342,59017.05583,0
Ind,1,Sales,Female,5749,26.0697105,59668.97586,1
Ind,1,Accounting,Male,1307,26.44030597,65198.30281,0
Ind,1,Marketing,Female,2694,28.1703309,59127.67141,1
Ind,1,Sales,Female,8003,23.06165136,60075.43479,1
Ind,1,Finance,Male,1616,25.44223858,54602.87605,1
Ind,1,Accounting,Male,2659,22.68607118,55870.15656,1
Ind,1,Accounting,Male,9463,23.70277032,68204.95153,0
Ind,2,Finance,Male,8769,29.83713668,66294.42184,0
Ind,1,Sales,Male,7950,23.84710459,55197.32059,1
Ind,1,Marketing,Female,9222,24.42756841,57308.97327,1
Ind,1,Sales,Female,7484,31.23130904,61919.76641,0
Ind,1,Finance,Male,4733,25.14740999,55746.64334,0
Ind,1,Marketing,Female,10074,36.78534789,67412.86533,0
Ind,1,Marketing,Female,9877,28.51258785,44806.21529,0
Ind,1,Marketing,Female,4233,27.40227363,51241.23798,0
Ind,1,Marketing,Male,3504,23.88607482,58508.8998,1
Ind,1,Other,Male,3420,26.6683505,50613.39724,1
Ind,1,Other,Male,4839,28.14883373,61710.66526,0
Ind,1,Finance,Male,8348,22.58353456,62237.63251,0
Ind,1,Finance,Female,7882,25.56048442,64779.72435,0
Ind,1,Other,Male,2046,25.81620172,64084.28141,0
Ind,2,Other,Female,5250,24.36875829,58691.05367,1
Ind,1,Sales,Female,5229,24.02006991,66720.14529,0
Ind,1,Sales,Female,7699,23.7077846,54360.92946,1
Ind,1,Finance,Male,8793,23.71222692,63799.79839,0
Ind,1,Sales,Female,4502,26.46805347,62703.32683,0
Ind,1,Sales,Male,4444,27.14699119,61687.31032,0
Ind,1,Other,Female,9685,25.03844135,54378.60787,0
Ind,1,Sales,Female,3495,29.18943396,55314.04215,1
Ind,2,Finance,Male,5146,25.46224034,52028.40538,0
Ind,1,Finance,Male,10629,30.26646322,54784.66284,1
Ind,1,Sales,Male,10568,26.82983811,60684.37885,0
Ind,1,Sales,Female,5279,24.17014768,58389.35413,1
Ind,1,Marketing,Male,9920,26.56482669,65192.91911,0
Ind,1,Finance,Male,8445,25.12388377,62104.41797,0
Ind,1,Other,Male,7246,33.94201546,62803.28501,0
Ind,1,Other,Female,9590,24.91937566,57810.42349,0
Ind,1,Sales,Female,7429,24.36392451,56738.41228,1
Ind,1,Other,Male,9026,25.15570169,62035.43829,0
Ind,1,Marketing,Female,2002,24.72237958,61589.79792,0
Ind,1,Other,Male,1741,23.33398661,60853.30103,1
Ind,1,Finance,Male,8372,29.03131626,60874.20271,0
Ind,1,Finance,Female,7826,24.93468182,61812.77589,0
Ind,1,Marketing,Male,1949,24.72810048,54252.58278,1
Ind,1,Sales,Male,2519,32.91421159,60923.26187,0
Ind,1,Sales,Female,2334,22.68763483,56098.85929,0
Ind,1,Accounting,Male,8410,29.75033155,66790.87626,0
Ind,1,Sales,Female,1688,23.65314425,61227.37391,0
Ind,1,Accounting,Female,8952,25.75070884,63648.03471,0
Ind,1,Sales,Male,1913,27.600879,59561.81012,1
Ind,1,Sales,Female,5375,23.18805039,54794.98575,1
Ind,1,Other,Female,3632,23.77586119,59928.65828,0
Ind,1,Sales,Female,9631,27.79855038,65966.58471,1
Ind,1,Finance,Female,10428,28.48815652,56788.4816,0
Ind,1,Marketing,Female,2187,22.83481906,56016.79827,1
Ind,1,Accounting,Female,3783,24.28276359,57742.5116,0
Ind,1,Finance,Male,10073,25.35557026,47004.31857,0
Ind,1,Other,Female,2380,23.72214703,64784.71872,0
Ind,1,Finance,Female,10177,27.46381601,60177.97921,0
Ind,1,Other,Female,1659,23.16805384,62437.39423,0
Ind,1,Finance,Female,6827,24.39283379,58906.86237,0
Ind,1,Accounting,Male,9636,36.93813102,64591.69462,0
Ind,2,Finance,Female,4142,28.88046068,58158.43159,0
Ind,1,Sales,Female,8992,33.05795994,60383.31631,0
Ind,1,Sales,Male,5535,24.34317668,56478.32043,1
Ind,1,Sales,Male,3025,26.40207885,59878.05003,0
Ind,1,Accounting,Female,8607,23.17023133,63363.52285,0
Ind,1,Sales,Male,2664,24.18493932,58925.98994,0
Ind,1,Finance,Female,7605,26.15989354,60521.65146,1
Ind,1,Finance,Male,6336,23.37510505,51215.55334,0
Ind,1,Sales,Female,5680,27.84328482,50113.20827,1
Ind,1,Marketing,Female,5111,25.14816682,53512.6231,0
Ind,1,Sales,Female,6654,23.02068695,51647.02983,1
Ind,1,Sales,Female,7423,26.72794882,59599.60142,0
Ind,1,Sales,Female,10017,22.56418563,66689.82893,0
Ind,1,Sales,Male,4415,26.24273462,58366.75811,0
Ind,1,Marketing,Female,3496,26.03277929,50654.07501,0
Ind,1,Finance,Female,4218,23.47228888,57629.90297,0
Ind,1,Finance,Male,2423,24.91058925,52971.08342,0
Ind,1,Marketing,Female,3984,24.33898776,56315.04109,1
Ind,1,Marketing,Female,8725,34.63287341,64403.42953,0
Ind,1,Marketing,Male,9276,27.84760427,59253.75951,0
Ind,1,Sales,Female,8688,23.86562284,47604.59115,1
Ind,1,Sales,Female,4318,25.29218517,58747.06385,0
Ind,1,Finance,Female,10173,29.52591471,61243.21503,0
Ind,1,Marketing,Male,10616,22.25504135,62884.68215,0
Ind,1,Finance,Male,6357,25.77762334,56741.83327,0
Ind,1,Marketing,Female,6139,30.62069825,60045.19213,0
Ind,1,Sales,Male,9852,22.90135092,63107.94626,0
Ind,1,Other,Female,7920,29.00867562,56161.20813,1
Ind,1,Sales,Male,5962,26.08481065,62084.5482,0
Ind,1,Other,Female,9381,26.05793026,58163.61388,0
Ind,1,Other,Female,7559,25.45808616,50813.56174,0
Ind,1,Sales,Female,3075,27.00504574,54450.46554,0
Ind,2,Finance,Male,3266,31.41664698,59846.10239,0
Ind,1,Marketing,Female,6474,24.58222565,44896.61349,0
Ind,1,Marketing,Male,2974,25.9184182,56967.21015,1
Ind,1,Finance,Male,4624,25.91250901,51323.07953,0
Ind,1,Marketing,Female,4612,23.71617582,60103.96922,0
Ind,1,Accounting,Male,7250,30.05250281,62584.95065,0
Ind,1,Marketing,Female,3157,22.90770345,59440.94415,1
Ind,1,Sales,Male,3665,27.15610354,49077.35929,0
Ind,1,Finance,Male,3332,26.75091573,71194.83889,0
Ind,1,Sales,Female,5511,24.01244552,67410.26689,1
Ind,1,Marketing,Female,8060,23.16149865,51298.0969,1
Ind,1,Finance,Male,2728,25.5550772,62929.31762,0
Ind,1,Marketing,Female,4369,25.46486979,63676.33572,1
Ind,1,Sales,Female,3005,28.91479123,61630.17374,1
Ind,1,Finance,Female,4816,27.18042348,53297.49727,0
Ind,1,Sales,Female,7137,29.20562588,61345.59022,1
Ind,1,Accounting,Male,5274,23.3402578,60959.18305,0
Ind,1,Marketing,Male,2705,27.0041111,63393.84635,0
Ind,1,Marketing,Male,9106,27.51906685,65634.43212,0
Ind,1,Accounting,Male,6614,24.65344976,59267.58521,1
Ind,1,Sales,Female,4102,29.05976916,61666.85044,1
Ind,1,Other,Male,7972,24.46489112,57366.80162,0
Ind,1,Finance,Female,4985,23.96413094,50610.28842,1
Ind,1,Accounting,Female,4164,24.34844395,63557.43603,0
Ind,1,Accounting,Female,9757,24.61094814,64491.86784,1
Ind,1,Other,Female,2970,25.16873739,63664.08943,0
Ind,1,Sales,Female,8770,29.07227739,57018.40195,1
Ind,2,Other,Male,4241,22.28080498,57710.21892,0
Ind,1,Marketing,Male,9924,31.34717521,55232.87003,0
Ind,1,Accounting,Male,6785,32.10451084,59568.78562,0
Ind,1,Finance,Female,1589,25.34633331,64187.84965,0
Ind,1,Sales,Male,4422,26.60768055,67949.51379,0
Ind,1,Marketing,Female,2939,24.86418796,53421.02588,1
Ind,1,Accounting,Female,6118,23.51636548,53596.35868,0
Ind,1,Marketing,Male,7500,30.6603544,72557.06805,0
Ind,1,Sales,Male,10263,25.23229566,62834.24287,0
Ind,1,Marketing,Male,1794,25.82699945,57470.88345,0
Ind,1,Accounting,Female,2522,22.81105048,58665.83517,1
Ind,1,Accounting,Female,5838,25.07063428,59331.88241,1
Ind,1,Other,Female,5619,24.18948322,66177.82072,0
Ind,2,Finance,Female,3363,23.63839078,65308.0199,0
Ind,1,Other,Male,7627,31.82525269,62037.83234,0
Ind,1,Marketing,Male,9453,23.43955397,56975.67044,0
Ind,1,Marketing,Female,9833,26.4808591,67882.74334,0
Ind,1,Accounting,Female,5403,30.19013204,57188.42408,1
Ind,1,Marketing,Male,3868,27.72258749,64500.78029,0
Ind,1,Other,Female,7608,32.7979829,63349.16475,0
Ind,2,Finance,Male,5502,22.58249811,67079.87464,0
Ind,1,Finance,Female,2950,29.15468251,55891.46804,1
Ind,1,Other,Female,10404,30.86651553,58288.74801,0
Ind,1,Marketing,Female,5968,26.31470814,54275.96658,0
Ind,1,Sales,Female,10209,23.38050927,62292.12583,1
Ind,1,Other,Female,7128,27.39539052,52959.63225,1
Ind,1,Sales,Male,5658,25.71166981,59119.85592,0
Ind,1,Accounting,Female,8889,26.52063657,61453.62208,0
Ind,1,Marketing,Female,9886,22.80600742,60470.46542,0
Ind,1,Sales,Female,6652,25.92444433,67837.96159,1
Ind,1,Marketing,Male,10232,29.64956704,56667.08133,0
Ind,1,Marketing,Male,3803,24.39027131,54800.17844,0
Ind,1,Finance,Female,2215,25.62859759,54528.82992,0
Ind,2,Other,Male,4469,24.81976841,59532.19939,1
Ind,1,Other,Female,6004,29.43625411,46987.90133,0
Ind,1,Accounting,Female,10525,25.46771812,63035.38971,0
Ind,2,Other,Female,10811,22.73397184,52540.11236,1
Ind,1,Finance,Male,8977,28.15620124,59593.64749,0
Ind,1,Sales,Female,8764,27.49777119,70421.91696,0
Ind,2,Sales,Male,9867,23.77751237,58085.49696,1
Ind,1,Marketing,Male,11017,27.12107131,60811.46329,0
Ind,1,Accounting,Female,7488,31.22126458,66374.16229,0
Ind,1,Finance,Male,8617,22.57624218,64795.21822,0
Ind,1,Sales,Male,7253,25.03588399,59177.42945,0
Ind,1,Finance,Male,2303,23.05118126,69022.0352,0
Ind,1,Sales,Female,7557,25.31259185,63884.28465,0
Ind,1,Sales,Female,6222,28.4928421,57055.55989,0
Ind,1,Accounting,Male,3428,25.42494774,46978.88549,1
Ind,1,Other,Male,1872,26.60897809,54710.66111,1
Ind,2,Other,Female,6490,22.77652984,58497.37395,1
Ind,1,Sales,Female,6590,24.0161981,56765.77174,0
Ind,2,Sales,Male,2951,23.28112857,54120.12959,0
Ind,1,Sales,Female,1687,30.59183645,67637.12096,1
Ind,1,Sales,Female,7974,28.28250667,60561.06971,0
Ind,1,Finance,Male,2836,23.42801134,64626.01645,0
Ind,1,Other,Female,7929,24.50701184,57141.34545,0
Ind,1,Finance,Female,4044,23.43875698,67550.94407,1
Ind,2,Finance,Female,10818,26.29794811,62346.89027,0
Ind,1,Finance,Female,10876,23.65186817,61791.14207,0
Ind,1,Marketing,Female,3846,28.39021892,63721.76573,0
Ind,1,Finance,Female,5342,23.40115309,55603.49272,1
Ind,1,Sales,Male,8731,25.20875206,55786.43502,1
Ind,1,Finance,Male,2112,24.31540102,54821.22655,1
Ind,1,Sales,Male,4602,25.04650101,63758.99078,0
Ind,1,Other,Male,2007,26.22480485,72748.19707,0
Ind,1,Finance,Female,6631,25.88306422,63494.44246,0
Ind,1,Marketing,Female,1786,28.43316607,60069.02938,1
Ind,1,Sales,Male,5699,24.42461654,43571.34424,1
Ind,1,Sales,Male,2541,22.72535066,51793.47756,0
Ind,1,Other,Male,10799,23.44269864,57502.53441,0
Ind,1,Sales,Female,2783,25.06281196,65958.32481,1
Ind,1,Sales,Male,5987,23.48793014,59713.75669,0
Ind,1,Sales,Female,3051,27.86505013,67059.05604,0
Ind,1,Marketing,Female,5316,25.11649523,61412.59243,0
Ind,1,Other,Male,10437,24.777588,60320.77961,0
Ind,2,Sales,Male,4799,24.22448811,57078.03259,1
Ind,1,Accounting,Female,1695,25.24418317,55653.08442,1
Ind,2,Other,Female,3646,29.23010578,61745.38837,0
Ind,1,Marketing,Male,2348,23.16811174,59693.42433,0
Ind,1,Sales,Female,4437,29.69461691,57782.11741,1
Ind,1,Marketing,Female,11031,23.79544428,61536.94892,0
Ind,1,Other,Female,10220,22.79441232,67738.10148,1
Ind,1,Marketing,Male,1623,23.96040904,55089.23305,1
Ind,1,Marketing,Female,8567,31.62995145,61599.64878,0
Ind,1,Other,Male,3730,32.03276196,63345.25006,0
Ind,1,Accounting,Male,3625,22.96668796,62170.75199,0
Ind,1,Sales,Male,10941,29.45310817,63832.79988,0
Ind,2,Sales,Female,8999,29.38272857,50339.3293,1
Ind,1,Accounting,Female,8994,25.69141966,57605.36881,1
Ind,2,Finance,Female,4654,23.45163551,65173.72046,0
Ind,1,Other,Female,4278,24.16398768,50276.8673,1
Ind,1,Marketing,Female,7640,27.44748723,61030.3592,0
Ind,1,Marketing,Male,5764,25.20122909,64122.97063,0
Ind,1,Sales,Female,7808,26.5658269,66135.52363,0
Ind,1,Sales,Female,3441,25.65629833,63729.20298,1
Ind,1,Marketing,Female,4953,23.25106296,56143.76185,0
Ind,1,Accounting,Female,3865,25.16413444,54512.32835,1
Ind,1,Finance,Female,2414,26.82082776,60805.62705,0
Ind,1,Other,Female,2537,22.72629337,52885.21501,0
Ind,1,Sales,Female,8704,23.15632406,64256.66508,1
Ind,1,Finance,Female,7760,28.25501402,54115.14873,1
